,user_id,items
628,C2283,Origanal South Indian Frappe - Cold Coffee
629,C2282,South Indian Filter Kaapi - Hot Coffee
630,C2282,Rosella Jam - SEASONAL MENU
631,C2282,Strawberry White Chocolate Ganache - SEASONAL MENU
632,20765,Cappucino - Hot Coffee
633,20764,Classic Frappe - Cold Coffee
634,C2281,Gluten Free Hazelnut Brownie - Sweet
635,20763,Hot Chocolate - Hot Chocolate
636,C2280,Tartlets - Food Menu
637,C2280,Kaapicino - Hot Coffee
638,C2280,Rosella Jam - SEASONAL MENU
639,C2280,Strawberry White Chocolate Ganache - SEASONAL MENU
640,C2280,Whole Wheat Ladi Pav - Savouries
641,C2280,White Loaf Bread - Savouries
642,C2279,Americano - Hot Coffee
643,C2279,South Indian Filter Kaapi - Hot Coffee
644,C2279,Papparoti - Sweet
645,20762,Kaapicino - Hot Coffee
646,20762,Papparoti - Sweet
647,20762,Baked Pav Bhaji - Food Menu
648,20762,Baked Vada Pav - Food Menu
649,20761,Iced Americano - Cold Coffee
650,20760,Cappucino - Hot Coffee
651,20760,Papparoti - Sweet
652,20759,Americano - Hot Coffee
653,20758,Baked Vada Pav - Food Menu
654,C2278,South Indian Filter Kaapi - Hot Coffee
655,C2277,Baked Pav Bhaji - Food Menu
656,C2277,Baked Vada Pav - Food Menu
657,20757,South Indian Filter Kaapi - Hot Coffee
658,20757,Baked Vada Pav - Food Menu
659,20756,South Indian Filter Kaapi - Hot Coffee
660,20756,Chicken Calzone - Food Menu
661,20756,Iced Mocha - Cold Coffee
662,20755,Hyderabadi Chicken Keema Pav - Food Menu
663,20755,Calzones Veg - Food Menu
664,20754,Americano - Hot Coffee
665,20753,Cappucino - Hot Coffee
666,20753,Iced Latte - Cold Coffee
667,20753,ALMOND MILK - Milk
668,20753,Add On Syrup - Extra Toppings
669,20752,Cappucino - Hot Coffee
670,20751,Choco-crinkle-cookies - Sweet
671,20750,Spicy Banana Chips - Food Menu
672,20749,Cafe Latte - Hot Coffee
673,20749,Add On Syrup - Extra Toppings
674,20748,Vietnamese - Cold Coffee
675,20747,Cappucino - Hot Coffee
676,20747,Origanal South Indian Frappe - Cold Coffee
677,20747,Cafe Mocha - Hot Coffee
678,20747,Hot Chocolate - Hot Chocolate
679,20747,Berliners - Food Menu
680,20747,Rosella Cheesecake Berliner - SEASONAL MENU
681,20746,Papparoti - Sweet
682,20746,Baked Pav Bhaji - Food Menu
683,20746,South Indian Filter Kaapi - Hot Coffee
684,20745,Cold Brew - Manual Brew
685,20744,Classic Frappe - Cold Coffee
